Sample ,Plant #,Sample,Day,Sample ID,content (ng/mg),Notes,,,Root,,Average,,,,,,,SEM,,,,,,,,,,,,,,,,
R-66,32,Root,60,       -M +E,7.25,60,       -M +E,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,
R-67,33,Root,60,       -M +E,6.76,60,       -M +E,6.76,,,,,,,,,,,,,,,,,,,,,,,,,,
R-68,34,Root,60,       -M +E,3.63,60,       -M +E,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,
R-69,35,Root,60,       -M +E,4.64,60,       -M +E,4.64,,,,,,,,,,,,,,,,,,,,,,,,,,
R-70,36,Root,60,       -M +E,4.33,60,       -M +E,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,
R-71,37,Root,60,       -M +E,3.79,60,       -M +E,3.79,,,,,,,,,,,,,,,,,,,,,,,,,,
R-72,38,Root,60,       -M +E,5.12,60,       -M +E,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,
R-73,1,Root,40,       +M -E,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-74,2,Root,40,       +M -E,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-75,3,Root,40,       +M -E,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-76,4,Root,40,       +M -E,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-77,5,Root,40,       +M -E,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-78,6,Root,40,       +M -E,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-79,8,Root,40,       +M -E,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-80,9,Root,40,       +M -E,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-81,10,Root,40,       +M -E,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-82,11,Root,40,       +M -E,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-83,12,Root,40,       +M -E,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-84,1,Root,40,       -M -E,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-85,2,Root,40,       -M -E,2.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-86,3,Root,40,       -M -E,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-87,4,Root,40,       -M -E,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-88,5,Root,40,       -M -E,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-89,6,Root,40,       -M -E,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-90,7,Root,40,       -M -E,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-91,8,Root,40,       -M -E,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-92,9,Root,40,       -M -E,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-93,10,Root,40,       -M -E,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-94,11,Root,40,       -M -E,6.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-95,12,Root,40,       -M -E,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-96,14,Root,50,       -M -E,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-97,15,Root,50,       -M -E,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-98,16,Root,50,       -M -E,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-99,17,Root,50,       -M -E,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
