Sample Name,Sample Type,Component Name,IS Name,Actual Conc (ng/mL),Area,IS Area,Area Ratio,Calculated Conc (ng/mL),weight (mg),content (ng/mg)
R-85,Unknown,ergo,ergo-d9,N/A,2.27E+05,7.92E+04,2.87E+00,38.29,29.5,2.60
R-86,Unknown,ergo,ergo-d9,N/A,1.50E+05,6.84E+04,2.19E+00,29.14,29.2,2.00
R-87,Unknown,ergo,ergo-d9,N/A,1.49E+05,7.34E+04,2.03E+00,27.07,27.2,1.99
R-88,Unknown,ergo,ergo-d9,N/A,1.67E+05,6.40E+04,2.60E+00,34.74,30.0,2.32
R-89,Unknown,ergo,ergo-d9,N/A,2.78E+05,7.84E+04,3.55E+00,47.46,24.6,3.86
R-90,Unknown,ergo,ergo-d9,N/A,1.98E+05,8.06E+04,2.45E+00,32.73,27.8,2.35
R-91,Unknown,ergo,ergo-d9,N/A,4.52E+05,9.67E+04,4.67E+00,62.44,28.2,4.43
R-92,Unknown,ergo,ergo-d9,N/A,1.99E+05,6.95E+04,2.86E+00,38.22,28.6,2.67
R-93,Unknown,ergo,ergo-d9,N/A,1.61E+05,7.98E+04,2.01E+00,26.80,28.8,1.86
R-94,Unknown,ergo,ergo-d9,N/A,6.47E+05,8.52E+04,7.59E+00,101.60,29.1,6.98
R-95,Unknown,ergo,ergo-d9,N/A,2.70E+05,8.01E+04,3.37E+00,45.03,26.8,3.36
R-96,Unknown,ergo,ergo-d9,N/A,1.90E+05,7.51E+04,2.53E+00,33.68,26.5,2.54
R-97,Unknown,ergo,ergo-d9,N/A,3.20E+05,1.14E+05,2.81E+00,37.56,24.3,3.09
R-98,Unknown,ergo,ergo-d9,N/A,2.74E+05,1.24E+05,2.21E+00,29.41,25.8,2.28
R-99,Unknown,ergo,ergo-d9,N/A,1.90E+05,1.04E+05,1.83E+00,24.39,24.0,2.03
R-100,Unknown,ergo,ergo-d9,N/A,1.53E+05,9.41E+04,1.62E+00,21.57,27.9,1.55
R-101,Unknown,ergo,ergo-d9,N/A,3.64E+05,9.71E+04,3.74E+00,50.02,25.0,4.00
R-102,Unknown,ergo,ergo-d9,N/A,2.03E+05,1.11E+05,1.83E+00,24.40,23.8,2.05
R-103,Unknown,ergo,ergo-d9,N/A,2.34E+05,9.69E+04,2.42E+00,32.25,23.8,2.71
R-104,Unknown,ergo,ergo-d9,N/A,2.35E+05,1.06E+05,2.23E+00,29.68,26.2,2.27
R-105,Unknown,ergo,ergo-d9,N/A,4.43E+05,1.23E+05,3.59E+00,47.95,18.9,5.07
R-106,Unknown,ergo,ergo-d9,N/A,2.61E+05,1.05E+05,2.50E+00,33.37,26.7,2.50
R-107,Unknown,ergo,ergo-d9,N/A,3.28E+05,1.17E+05,2.80E+00,37.43,24.7,3.03
R-108,Unknown,ergo,ergo-d9,N/A,1.44E+05,8.25E+04,1.75E+00,23.25,24.7,1.88
R-109,Unknown,ergo,ergo-d9,N/A,1.64E+05,8.96E+04,1.83E+00,24.37,24.9,1.96
R-110,Unknown,ergo,ergo-d9,N/A,1.49E+05,9.57E+04,1.56E+00,20.73,26.9,1.54
R-111,Unknown,ergo,ergo-d9,N/A,1.37E+05,9.05E+04,1.51E+00,20.05,25.0,1.60
R-112,Unknown,ergo,ergo-d9,N/A,1.47E+05,9.32E+04,1.58E+00,20.94,27.6,1.52
R-113,Unknown,ergo,ergo-d9,N/A,1.54E+05,9.28E+04,1.66E+00,22.01,28.3,1.56
R-114,Unknown,ergo,ergo-d9,N/A,1.46E+05,1.12E+05,1.31E+00,17.40,25.0,1.39
R-115,Unknown,ergo,ergo-d9,N/A,1.58E+05,1.12E+05,1.42E+00,18.80,27.4,1.37
R-116,Unknown,ergo,ergo-d9,N/A,1.92E+05,1.30E+05,1.48E+00,19.70,25.1,1.57
R-117,Unknown,ergo,ergo-d9,N/A,1.42E+05,1.06E+05,1.34E+00,17.80,23.7,1.50
R-118,Unknown,ergo,ergo-d9,N/A,1.46E+05,9.49E+04,1.54E+00,20.46,27.5,1.49
R-119,Unknown,ergo,ergo-d9,N/A,1.33E+05,9.04E+04,1.47E+00,19.59,24.9,1.57
R-120,Unknown,ergo,ergo-d9,N/A,7.01E+05,2.38E+05,2.95E+00,39.40,27.5,2.87
R-121,Unknown,ergo,ergo-d9,N/A,2.38E+05,1.01E+05,2.35E+00,31.33,28.3,2.21
R-122,Unknown,ergo,ergo-d9,N/A,2.16E+05,1.09E+05,1.99E+00,26.44,29.2,1.81
R-123,Unknown,ergo,ergo-d9,N/A,1.94E+05,7.96E+04,2.43E+00,32.42,28.3,2.29
R-124,Unknown,ergo,ergo-d9,N/A,1.25E+05,1.02E+05,1.22E+00,16.23,22.1,1.47
R-125,Unknown,ergo,ergo-d9,N/A,1.29E+05,9.13E+04,1.42E+00,18.83,25.1,1.50
R-126,Unknown,ergo,ergo-d9,N/A,1.59E+05,9.06E+04,1.75E+00,23.29,26.5,1.76
R-127,Unknown,ergo,ergo-d9,N/A,1.04E+05,6.45E+04,1.61E+00,21.39,29.0,1.48
R-128,Unknown,ergo,ergo-d9,N/A,1.25E+05,6.38E+04,1.96E+00,26.15,26.5,1.97
R-129,Unknown,ergo,ergo-d9,N/A,1.08E+05,5.84E+04,1.85E+00,24.58,28.1,1.75
R-130,Unknown,ergo,ergo-d9,N/A,1.03E+05,6.46E+04,1.59E+00,21.18,26.8,1.58
R-131,Unknown,ergo,ergo-d9,N/A,1.31E+05,6.50E+04,2.01E+00,26.78,28.9,1.85
R-133,Unknown,ergo,ergo-d9,N/A,2.41E+05,1.18E+05,2.05E+00,27.36,29.1,1.88
R-134,Unknown,ergo,ergo-d9,N/A,1.08E+05,6.88E+04,1.58E+00,20.96,27.3,1.54
R-135,Unknown,ergo,ergo-d9,N/A,1.04E+05,8.42E+04,1.23E+00,16.31,28.0,1.17
R-136,Unknown,ergo,ergo-d9,N/A,1.39E+05,1.08E+05,1.28E+00,17.05,23.9,1.43
R-137,Unknown,ergo,ergo-d9,N/A,1.04E+05,9.46E+04,1.10E+00,14.60,24.9,1.17
R-138,Unknown,ergo,ergo-d9,N/A,1.16E+05,8.58E+04,1.36E+00,18.02,25.7,1.40
R-139,Unknown,ergo,ergo-d9,N/A,1.09E+05,1.07E+05,1.03E+00,13.59,27.1,1.00
R-140,Unknown,ergo,ergo-d9,N/A,1.21E+05,1.08E+05,1.13E+00,14.97,25.8,1.16
R-141,Unknown,ergo,ergo-d9,N/A,2.08E+05,8.95E+04,2.32E+00,30.99,30.0,2.07
R-142,Unknown,ergo,ergo-d9,N/A,1.07E+05,1.17E+05,9.17E-01,12.13,28.3,0.86
R-143,Unknown,ergo,ergo-d9,N/A,7.01E+04,6.73E+04,1.04E+00,13.80,21.3,1.30
R-144,Unknown,ergo,ergo-d9,N/A,7.08E+04,8.36E+04,8.48E-01,11.19,26.4,0.85
S-1,Unknown,ergo,ergo-d9,N/A,8.71E+04,2.69E+04,3.24E+00,43.21,28.8,3.00
S-2,Unknown,ergo,ergo-d9,N/A,8.15E+04,3.15E+04,2.59E+00,34.56,26.7,2.59
S-3,Unknown,ergo,ergo-d9,N/A,8.68E+04,2.57E+04,3.38E+00,45.13,27.6,3.27
