Plant Group,Plant Number,Sampling Day ,Height (cm),Shoot weight (g),Root weight (g),Grain weight,Total biomass(g),chlorophyll content(fv/fm),Flowering?,R/S Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M+E,18,50,65.9,4.304,0.649,,4.953,0.78,Y,0.150789963,,,,,,,60,1.3,1.110166667,2.4,1.0945,,,60,0.128940339,0.149787012,0.114197096,0.126381128,,,,,,,,,,,,,,
+M+E,19,50,74.6,2.392,0.411,,2.803,0.81,Y,0.171822742,,,,,,,Average,,,,,,,SEM,,,,,,,,,,,,,,,,,,
+M+E,20,50,79.1,3.376,0.668,,4.044,0.78,Y,0.197867299,,,,,,,Total Mass(g),,ME,M,E,Control,,Total Mass(g),,ME,M,E,Control,,,,,,,,,,,,,
+M+E,21,50,60.5,1.937,0.336,,2.273,0.81,Y,0.17346412,,,,,,,,40,2.8,1.5,3.6,1.4,,,40,0.224797181,0.01937358,0.249810872,0.082578471,,,,,,,,,,,,,
+M+E,22,50,71.4,1.95,0.306,,2.256,0.79,Y,0.156923077,,,,,,,,50,2.8,1.87,5.00,2.2,,,50,0.304422565,0.17,0.33,0.115454053,,,,,,,,,,,,,
+M+E,23,50,73.9,2.319,0.319,,2.638,0.80,Y,0.137559293,,,,,,,,60,3.4,3.20125,6.9,3.883833333,,,60,0.321332661,0.334118245,0.155316198,0.362956522,,,,,,,,,,,,,
+M+E,24,50,62.1,2.196,0.338,,2.534,0.79,Y,0.153916211,,,,,,,,Average,,,,,,,SEM,,,,,,,,,,,,,,,,,
+M+E,25,50,62.6,0.951,0.149,,1.1,0.80,Y,0.156677182,,,,,,,,Chlorophyll Content,,ME,M,E,Control,,Chlorophyll Content,,ME,M,E,Control,,,,,,,,,,,,
+M+E,26,50,69.8,,,,,0.77,Y,,,,,,,,,,40,0.8,0.8,0.8,0.8,,,40,0.001910213,0.005105325,0.002370928,0.004689575,,,,,,,,,,,,
+M+E,27,60,72.1,2.064,0.498,1.815,4.377,0.01,Y,0.24127907,,,,,,,,,50,0.8,0.77,0.73,0.8,,,50,0.004021638,0.02,0.04,0.008832208,,,,,,,,,,,,
+M+E,28,60,67.1,2.479,0.605,1.976,5.06,0.78,Y,0.24405002,,,,,,,,,60,0.6,0.744285714,0.8,0.730833333,,,60,0.077908433,0.015396385,0.008350082,0.01621159,,,,,,,,,,,,
+M+E,29,60,73.6,2.298,0.513,1.751,4.562,0.03,Y,0.223237598,,,,,,,,,Average,,,,,,,SEM,,,,,,,,,,,,,,,,
